sales
2.700000000000000178e-01
1.390000000000000124e+00
3.709999999999999964e+00
5.410000000000000142e+00
6.129999999999999893e+00
1.301999999999999957e+01
1.737999999999999901e+01
2.116999999999999815e+01
2.637999999999999901e+01
3.375000000000000000e+01
4.249000000000000199e+01
5.124000000000000199e+01
5.964000000000000057e+01
7.373999999999999488e+01
8.997999999999998977e+01
1.086299999999999955e+02
1.289699999999999989e+02
1.460399999999999920e+02
1.830799999999999841e+02
2.181399999999999864e+02
2.441699999999999875e+02
2.710799999999999841e+02
3.188700000000000045e+02
3.563000000000000114e+02
3.875400000000000205e+02
4.213400000000000318e+02
4.723700000000000045e+02
5.160900000000000318e+02
5.512900000000000773e+02
5.905600000000000591e+02
6.650300000000000864e+02
7.262000000000000455e+02
7.737300000000000182e+02
8.217799999999999727e+02
8.965599999999999454e+02
9.477500000000000000e+02
9.881499999999999773e+02
1.033660000000000082e+03
1.111950000000000045e+03
1.162710000000000036e+03
1.203740000000000009e+03
1.250420000000000073e+03
1.327740000000000009e+03
1.379960000000000036e+03
1.421259999999999991e+03
1.468150000000000091e+03
