,Unnamed: 0,ID,region_id,private_business,prices,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
7277,7277,bc6323510109f339528953bed602a6f392de6866,-11,business,3750.0,ford,fiesta,gaz,130000,2004,1242,blue,5,140
7278,7278,ff310f44f28b5d7b36133f0e375d687a53c2d83e,-11,business,10950.0,seat,ibiza,diesel,108498,2015,1598,other,5,35
7279,7279,c6dedaf8876cbd640fabae78b8a1b621a79280b7,-1,business,3500.0,audi,a2,gaz,199076,2001,1400,green,5,130
7280,7280,20358069febea9ad291a6effb3d94cfb7b1e3c1b,-11,business,2850.0,ford,focus-sw,diesel,361944,2001,1798,blue,5,8
7281,7281,fd51ff7fbeeee1d51e89ed1e04919e6f2fa9b152,-11,private,10900.0,ford,grand-c-max,diesel,112000,2011,1560,blue,7,35
7282,7282,95e44d34008326b9aa54b96f99dfb395ad76e820,-13,business,12490.0,citroen,c4,diesel,115000,2012,1560,other,5,53
7283,7283,a959874f1e5743b2ef54cec6965d1f5475e2868e,-3,business,27500.0,vw,caravelle,diesel,42586,2016,2000,white,9,59
7284,7284,9ba5a0837d90d8cd9927f827d048b852a3a18d55,-1,business,9990.0,vw,polo,gaz,29000,2013,1198,white,5,15
7285,7285,94e9992c9cef61264c980a374d1ae3fea885d71c,-11,business,16950.0,nissan,micra,diesel,17743,2017,1500,white,5,52
7286,7286,a388c738481159747febd069b3775ac0d7bca1a6,-14,business,13900.0,audi,a4-avant,diesel,211000,2008,2000,white,5,12
7287,7287,07b697baa87c08df5a45dccf1303f072421e58b6,-14,business,15900.0,peugeot,308-sw,diesel,149000,2014,1589,blue,5,54
7288,7288,47dce7ccdebe75684a3348ef4e350bd3e32602ef,-10,business,12190.0,renault,megane-sport-tourer,diesel,140309,2014,1461,brown,5,13
7289,7289,800bec78e4aa6c51de31e30671e58408ba0a81fd,-13,business,63500.0,mercedes-benz,e-220,diesel,2500,2018,1950,other,5,34
7290,7290,ef086b84565fb3710bf656c9efb8b6757b38742b,0,business,17900.0,vw,passat-variant,diesel,164994,2013,1968,other,5,48
7291,7291,0e4bc222e2c3a1c9606004cfc46902f80299ffb4,-11,business,41000.0,bmw,640,gaz,89767,2011,2979,other,4,19
7292,7292,f81b22bc296e2297846c0dc7bdb5069885802f00,-13,business,36000.0,mercedes-benz,cla-200,diesel,32000,2016,2000,white,5,53
7293,7293,450a4a218526e7889ce2e6ce7b6d1d8f1d8e9454,-3,business,10000.0,mercedes-benz,c-220,diesel,300000,2002,2148,blue,5,133
7294,7294,9f7ad029dda6b7d0d693c906ca42640731777de4,-13,business,17250.0,bmw,x1,diesel,120000,2010,2000,white,5,12
7295,7295,7153e0d81dbb09019a2f0f49a9ef4fe72e1920ca,0,business,42000.0,bmw,520,diesel,18531,2016,1995,other,5,150
7296,7296,8ec3d680b1e82a6db80047438228d56eb93411e2,-1,business,13500.0,fiat,500,gaz,18900,2017,1200,white,5,20
7297,7297,81a587e0d782d888c10feabca7910743e73d5e60,-10,business,14500.0,audi,a3-cabrio,diesel,140000,2008,1900,white,5,47
7298,7298,36fb3c19d51b27fad8defc0f0069ad2e479b8455,-11,private,15200.0,bmw,520,diesel,165000,2007,2000,blue,5,7
7299,7299,8952957d5d5267282a01ae2083f9bb4649e62ad7,-10,business,23900.0,bmw,125,diesel,149985,2013,1995,blue,5,107
7300,7300,aad1c805406d867824040a70444e41c2b6ae0d58,-13,business,16500.0,mini,one,gaz,29225,2015,1198,blue,4,24
7301,7301,a770fa8a29e800117172757bbfe4a6a5bdbdabbd,-10,business,23900.0,audi,q7,diesel,202179,2006,2967,white,7,29
7302,7302,5613d5fab249eb12c914a4f49530e23bc29af6e5,-13,business,6300.0,smart,fortwo,diesel,153000,2009,799,white,2,114
7303,7303,bb06a3d53bd3ce357a8d2be54a2b74e8727b7597,-13,business,29900.0,bmw,123,diesel,216234,2008,1995,white,4,13
7304,7304,a09d7bb190aa5ba78778c873373c9483aab974f0,-11,private,6890.0,fiat,500,diesel,187000,2008,1300,blue,5,11
7305,7305,63d0d1230ed395e04408ec171c2521bc56f55834,-1,business,34500.0,toyota,rav4,diesel,25750,2017,1995,white,5,173
7306,7306,2640ad7e25ef717bd189f56cd88e82fc12f55b9c,-11,business,18450.0,citroen,c4-grand-picasso,diesel,109000,2015,1600,blue,7,31
7307,7307,e2603046a002d9c44602ff7dc7e31a7af86a9195,-15,business,8500.0,smart,fortwo,diesel,83323,2012,799,white,2,77
7308,7308,9ab64e81531565590d868906f8f62afa492a7e70,-11,business,27500.0,mercedes-benz,b-200,diesel,33000,2015,2143,white,5,20
7309,7309,3a0cfd18c4c6053a56959f7e95e5eb0c031c202b,-13,business,9490.0,alfa-romeo,mito,diesel,67640,2010,1248,red,5,41
7310,7310,da4ea3bf608b475a92f8c992e918a6185a10b79c,-11,business,3750.0,mercedes-benz,c-220,diesel,338000,1999,2200,other,5,72
7311,7311,23204c9d5779bc96e00b369d660fa078e6888cfc,0,business,13250.0,mercedes-benz,b-180,diesel,114332,2010,1997,other,5,12
7312,7312,85f0f8cc9377c0d2aa937f9c6676276261cc3e5a,-11,business,18100.0,bmw,316,diesel,163500,2014,2000,white,5,88
7313,7313,9a1cef7c9252e64b02e887cfb23673afed0e6b41,-11,business,7450.0,jaguar,x-type,gaz,157734,2001,2495,blue,5,7
7314,7314,236e10e83b02a3f12411fb991929c0a0cf4da746,-15,business,18990.0,bmw,116,diesel,100000,2013,1598,blue,5,83
7315,7315,c5294500014bbd1f0a3bd2a881fa0783ac3c6dee,-3,business,24900.0,audi,a3-limousine,diesel,50000,2017,1600,blue,5,17
7316,7316,4c353334b998df8383ebaee08285dcbafbb7cf89,-8,business,15950.0,toyota,auris,hibride-gaz,19285,2012,1798,white,5,8
7317,7317,18da8aba69615fc6341eee5a253bd256e66a2443,-11,business,139990.0,ferrari,california,gaz,30000,2009,4300,red,4,83
7318,7318,1603ab7ff3de1e19f5d9960538c8329168590b94,-13,business,8750.0,fiat,punto,gaz,31551,2016,1242,white,5,32
7319,7319,23680e84c84a68059aa3482e4d6facc1c5cdcbd0,-15,business,14350.0,renault,clio,gaz,22268,2017,900,red,5,52
7320,7320,93c7d3083309f198637eb7e6d25f87f23ee6da62,-11,business,18600.0,mini,cooper,diesel,60000,2015,1496,green,5,255
7321,7321,06b1c8dede623aa3b4f8e745e8977200b4f348a0,-3,private,18500.0,bmw,520,diesel,245000,2011,1995,white,5,81
7322,7322,7ab7c9c1801ebc307a6d84ead7459bee5a32ef88,-13,business,18500.0,mercedes-benz,slk-200,gaz,107000,2008,1796,blue,2,16
7323,7323,bbf72ba5f32d0dd5aa0c862fb4656eb63d0cf7ca,0,business,16000.0,smart,forfour,gaz,4530,2017,898,red,4,41
7324,7324,65db482e8430de300dd7263722b365540baf5552,-14,business,21950.0,citroen,c4-grand-picasso,diesel,90287,2014,1560,white,7,32
7325,7325,f9e13c467cbdcb0f0cde910fe02659a1d437b97e,-3,business,8900.0,citroen,c3-picasso,gaz,103976,2009,1397,beige,5,84
7326,7326,94eea39179af71e7981c094000598461103cba6c,-11,business,25400.0,volvo,v40-cross-country,diesel,53125,2016,2000,white,5,52
7327,7327,c2a1ebd20779b25fe5b9a1d3cc368e4db8e20c0e,-11,business,1000.0,nissan,micra,gaz,90000,1998,998,green,5,81
7328,7328,a7ec56c469155e0ce051e032d5daba216a17bc39,-13,business,13890.0,bmw,118,diesel,183000,2007,1995,white,5,27
7329,7329,f4ec9ce2f8a2e1e63c6d5ac1dfdb48018a754358,-11,business,990.0,ford,fiesta,gaz,77000,1997,1250,white,5,54
7330,7330,6860ae6ccff4f684708b110b9f9a66faca36a536,-10,business,5990.0,mercedes-benz,a-170,diesel,265000,2002,1689,blue,5,30
7331,7331,db68ecc5d394b14d7b00a86f96dca7d1905d4f19,-11,business,1990.0,audi,a3,gaz,240256,2000,1600,blue,5,80
7332,7332,912b10f915f8f3b55d5bd1e82a760af33f773b64,-16,business,35900.0,jaguar,xe,diesel,48103,2017,1999,white,5,41
7333,7333,6e95fd4853720d58c4c648bbd7e8fb5e3e74ad65,-11,business,6750.0,peugeot,407-sw,diesel,165000,2005,2000,other,5,7
7334,7334,fc4b70579b0346936a99d7ec19c409d3ac570ec5,-8,business,11500.0,renault,clio,gaz,19100,2015,900,white,5,11
7335,7335,762dbfd0a05d7211590dd157a054bd04f96922c2,-11,business,13750.0,hyundai,i20,gaz,18603,2017,1248,white,5,76
7336,7336,449d7de6faffe237c1e6bd636dec586894aa60b7,-11,private,7990.0,citroen,2cv,gaz,46333,1990,602,white,4,48
7337,7337,7f7f538a433d0c486817b1383d0d11d771cda4fb,-8,business,19900.0,jaguar,xf,diesel,154200,2008,2720,blue,5,114
7338,7338,ab9b14bef719d4ff951e4464103ca3c7d3f55d40,-10,business,13850.0,volvo,v60,diesel,150973,2012,1560,white,5,42
7339,7339,1c2a42c5fab1f630cbede0be38556dd668df8f19,-15,business,21500.0,vw,golf,diesel,94052,2014,1595,red,5,99
7340,7340,539c9a927c5faa01894d7f1ea696c2e2437dd28d,-11,business,9950.0,seat,ibiza,gaz,24863,2016,999,other,5,24
7341,7341,8610eb8d4c2e0b6939b85a9bd77b48c2b4dbc5f6,-13,business,12490.0,peugeot,208,gaz,23659,2017,1199,white,5,18
7342,7342,b2c6dfaf7ac6129d216a5c98a4d76e284f3ad2df,-13,business,16990.0,peugeot,3008,diesel,98236,2014,1560,other,5,18
7343,7343,cd7ce5f35409d003007cb606764a306b6ed1bc61,-17,business,12900.0,citroen,c4,diesel,145000,2013,1560,white,5,52
7344,7344,3297482c849912ec4a869aef47933b8d4d0263cf,-13,business,3350.0,audi,a3,gaz,137000,1999,1600,blue,5,17
7345,7345,d3e572f5ef404e530aef1c2d6743d67ac5b9a8be,0,business,22300.0,vw,passat-variant,diesel,97831,2016,1598,other,5,20
7346,7346,328e9ccd131b68149c2af79a0577047b3c34558c,-11,business,17980.0,volvo,v70,diesel,161761,2013,1600,other,5,38
7347,7347,54c1ad6ad786e5addb12f8d88080a58ec8fc3478,-10,business,28900.0,vw,caravelle,diesel,54721,2016,1968,white,9,182
7348,7348,7e5eee2a26da33bac81ccbcba5dae015536fc662,0,business,32900.0,mercedes-benz,gla-200,diesel,63000,2014,2143,white,5,202
7349,7349,0eb5a07432fe565cc115e604cab0f74a34edd8b1,-15,business,35490.0,jeep,compass,diesel,350,2018,1598,white,5,42
7350,7350,a1425ebd2a037a87d3103d0c4856bd5519d2d81c,-11,business,16750.0,citroen,c-zero,electric,7290,2015,1,white,5,23
7351,7351,e07a8e34416aa8071f9518a3c8cc803fa56de9e9,-3,business,13800.0,renault,clio,diesel,97051,2014,1500,white,5,72
7352,7352,5ec277d9fe65fa0909f7fa975680e4ab45a1a71f,-13,business,4350.0,toyota,yaris,gaz,127500,2004,1300,blue,5,77
7353,7353,a5002562c78b08ec526e222ea0db4d6ce8e83b78,-11,business,3250.0,nissan,patrol,diesel,363000,1993,2800,white,8,23
7354,7354,6ec42e9ce678f0dafffb54d94b73ec06ec568c94,-15,business,19750.0,kia,ceed-sw,diesel,19600,2017,1396,white,5,37
7355,7355,d93ccfa5b9329dc14f44188d6f3dcc54e2390ef9,-11,business,23500.0,renault,megane-sport-tourer,diesel,35000,2017,1500,white,5,176
7356,7356,cce4f94dce8eaabf42e7d88cd9bc39a634f0a11c,-3,business,12900.0,vw,passat-variant,diesel,246000,2013,1598,white,5,122
7357,7357,cff9f789b9ae7c3739c05bf75bc7361aecdb981d,-11,business,12983.0,renault,clio-sport-tourer,diesel,68000,2016,1500,white,5,39
7358,7358,9630361c1a4fa37fc03c5ce9212d4a0224574910,-11,business,13950.0,vw,passat,diesel,80000,2008,1968,blue,5,41
7359,7359,4e8ae65d31544686942719940faa673ce6cc46ee,-10,business,32000.0,mercedes-benz,gla-220,diesel,70000,2014,2200,red,5,16
7360,7360,f2b75c8caf4881bc1e0ee7cdcdaba0511bcaa4f4,-13,business,9990.0,vw,passat-variant,diesel,220000,2006,1900,brown,5,63
7361,7361,5702722a5bb1b53a2322a3c87e4c29923f149c9c,-11,business,5900.0,jeep,grand-cherokee,diesel,155000,2001,3124,beige,5,46
7362,7362,c6bf319bb1385651c9dced005ef65973897ab563,-17,business,7500.0,suzuki,samurai,diesel,152987,2002,1900,blue,2,11
7363,7363,3ddfc71641527c304b98b8916f78e1cc862543cd,-11,business,13100.0,seat,ibiza,diesel,95392,2015,1422,other,5,71
7364,7364,f6c0ca37d6d73d50bc20db1b26fed43336de78ed,-11,business,9980.0,toyota,yaris,gaz,48000,2014,1000,red,5,10
7365,7365,ebc0f879d264ca66c5d7526a059e0648ab024dae,-13,business,9499.0,vw,golf,diesel,150000,2006,2000,blue,5,188
7366,7366,efa58f00a66db9c9211d74c3b760f5dc1920781d,-11,business,21900.0,audi,a3-limousine,diesel,43044,2015,1598,white,5,25
7367,7367,35f8d7d9bd5fbfeb63161ce64ccc4822934473fb,-16,business,1000.0,outra-nao-listada,aixam,diesel,47001,1996,400,red,2,51
7368,7368,047b55a7dab91346f1ec987938c7480ffe428c76,-11,business,4365.0,vw,passat-variant,diesel,342000,2000,1900,blue,5,14
7369,7369,4b16157770ab25605bd16aa674f9412601b7c01f,-16,business,19840.0,vw,scirocco,diesel,149972,2010,2000,white,4,267
7370,7370,de24d616b91d7402cad867b385df4a51cee1b37d,-11,business,22200.0,nissan,qashqai,diesel,92046,2016,1500,white,5,82
7371,7371,df7a4d0d65116985b8b004eb210cb71fc17d9109,-13,business,14500.0,vw,touareg,diesel,199000,2006,2500,blue,5,7
7372,7372,1eaf37a0171e79922e55f0e2b7914d04d813e76c,-11,business,5900.0,smart,fortwo,diesel,130000,2009,800,white,2,22
7373,7373,2d203f26f38f63f470f4732b492a7eb09b485df4,-10,business,62900.0,bmw,520,diesel,19000,2017,1995,blue,5,76
7374,7374,9a0255645b55fbb25900533f260346a69d2144d6,-15,business,11300.0,toyota,yaris,gaz,34589,2015,998,white,5,68
7375,7375,5a7ca618706ae4c6881a1dce3798376ec965d26d,-11,business,12900.0,renault,megane-coupe,diesel,136281,2011,1461,orange,5,22
7376,7376,39d4a1a8c208473e5169a2d968a84f325e6e6b85,-9,private,1650.0,renault,twingo,gaz,135200,1998,1200,green,4,147
7377,7377,e7ee788bb044a038fc06051803a059380afbd982,-14,business,14900.0,renault,clio,gaz,5000,2017,898,red,5,34
7378,7378,7dcff483fc3c002fca3c1c4d78bff4223a3395f6,-10,business,4950.0,ford,focus-sw,diesel,157000,2006,1600,blue,5,7
7379,7379,0ea40dc565509a597b4867d5ad5cd0029e02aeee,0,business,11900.0,fiat,doblo,diesel,75608,2013,1248,white,5,125
7380,7380,a4490efd2796f0445be7f3fc9ac3b727795cf34f,-16,business,18850.0,citroen,ds5,diesel,140000,2014,1560,white,5,27
7381,7381,2a75dd04ed982bfed734f8c2982a0c83e998eba7,-11,business,9800.0,kia,picanto,gaz,11837,2017,998,orange,5,8
7382,7382,e2503054b35abcdb737eab5a0f3a3fdc55a9cd79,-13,business,23500.0,bmw,320,diesel,188000,2012,1995,white,5,52
7383,7383,d07f2198c3a4a0917f90fbc0cc958385585e555c,-3,business,16499.0,peugeot,308,diesel,90000,2014,1560,white,5,99
7384,7384,62cb7de5236f3e475331cdd9d2c8c53b3937dac5,-3,private,15500.0,opel,astra-gtc,diesel,130000,2013,1700,white,5,22
7385,7385,1e302097142eb5ea94c69f46ca02dbf6d3e22e3b,-14,business,11450.0,renault,clio-sport-tourer,diesel,152000,2013,1461,brown,5,34
7386,7386,6543dbafe4a7987d786a866c4b06d54dbb5f9408,-11,business,20000.0,renault,captur,diesel,11109,2017,1461,red,5,59
7387,7387,89e838259b31b6ba0917530870bb449c012fb32f,-1,private,27000.0,mercedes-benz,a-200,diesel,100225,2014,2000,white,5,26
7388,7388,ae6e5ac7b13459a0b8485987ea4cc2adf550b6b2,-13,business,14250.0,renault,clio,gaz,22,2017,898,white,5,59
7389,7389,fd16bf487679f7b4c3a86b455e21a3997161fcb6,-1,business,7500.0,vw,golf-variant,diesel,240000,2010,1600,blue,5,104
7390,7390,bbc1b9a7c328dc172fa16aa4a875346e37d21754,-13,business,10500.0,renault,megane,diesel,155000,2012,1500,white,5,19
7391,7391,309b22a96b6de4eb885d17f57e70a6327b288b04,-11,private,4500.0,renault,megane-break,diesel,215000,2004,1500,brown,5,14
7392,7392,8512ce1e519f897dcfe26c0725703ba2d1500f3a,-3,business,19250.0,citroen,ds5,diesel,132000,2015,1600,other,5,142
7393,7393,44c976c3e3df5c0895e210f4ee563ccdbff8a6b9,-11,business,49500.0,land-rover,evoque,diesel,9000,2017,2000,white,5,15
7394,7394,b149bdc8adbf063316282ab100119d358de6288a,-15,business,3500.0,honda,civic,gaz,196000,2002,1396,blue,5,27
7395,7395,63203a7006a43fde32840f69060b3c49b89b60dd,-13,business,19500.0,jeep,wrangler,diesel,71000,2009,2777,green,2,75
7396,7396,14b79ad50d5ebb684f0b0ecbfa3c394ed53290d9,-5,business,16400.0,nissan,note,diesel,14000,2016,1500,white,5,49
7397,7397,12daff67da0dd8335adbc469bf64b1427ace49fe,-11,business,6400.0,ford,s-max,diesel,302407,2006,1800,blue,7,73
7398,7398,5afec9701d3e17ff9de426c94bc56bddabf27b60,-3,business,19990.0,citroen,c5-tourer,diesel,80545,2014,1997,blue,5,154
7399,7399,5c4dfb727137ea8ca73f8ae083f16e50dc75e1c1,-11,business,12600.0,fiat,punto,diesel,29743,2017,1248,other,5,47
