,Unnamed: 0,ID,region_id,private,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
16368,16368,91219f1eca6c5fc73c7b67d46788fec2384a743f,11,business,880.0,opel,corsa,gaz,12.01974306733868,1999,1000,blue,5,21
16369,16369,5f6607437148640a8254c80e609d8134e11f62a2,3,business,17900.0,nissan,qashqai-2,diesel,11.002099841204238,2013,1598,white,5,48
16370,16370,23bfc1a2d79da9ccfc7e66228cace5d45b51a641,10,business,11450.0,seat,ibiza,gaz,10.957189640233244,2017,999,white,5,20
16371,16371,bf2c9d0b459db3f615e06046422830df6023e85d,13,business,14750.0,fiat,500c,gaz,9.948556515903705,2018,1242,white,2,43
16372,16372,d77f651821dc2469786867a22f739cafad31d6b2,13,business,13450.0,peugeot,308,diesel,11.726422639232633,2016,1600,white,5,35
16373,16373,f85f889db1ae19d00083c82a908169121a81aa18,11,business,24950.0,nissan,qashqai,diesel,9.16408698745872,2018,1461,white,5,10
16374,16374,ea3bac698b042d51a2c232ccbce45955f1666d1c,13,business,9990.0,renault,clio,diesel,11.77528972943772,2014,1461,white,5,12
16375,16375,dc0ea42451740332a190556e14da5e175684ef46,11,business,1490.0,ford,mondeo-sw,diesel,12.429216196844383,1999,1800,blue,5,140
16376,16376,a526f99043fac7641cd6e75a7ca537263475d6b8,11,business,12390.0,smart,fortwo,gaz,7.495541943884256,2016,999,white,2,33
16377,16377,b9159f34e17724e11a4b693bf1f4352390bb1820,13,business,14500.0,renault,captur,diesel,11.847853653018875,2015,1461,other,5,50
16378,16378,def497aad65d16d47ec881fd249ebd4614345800,14,business,2990.0,suzuki,vitara,diesel,12.043553716032399,1996,1900,red,5,59
16379,16379,241b37121392825ad48aba28e16b9fb7260b06a1,11,business,14450.0,fiat,500l,diesel,10.494657376983609,2016,1248,white,5,55
16380,16380,dcbc620a73ce11f3949db0e3b14339aa628e7185,11,business,12990.0,seat,ibiza,gaz,9.66128859468676,2016,1000,red,3,38
16381,16381,54d5f4748364898775955f399e77a9c8ce033a9b,3,business,14390.0,renault,clio,diesel,10.367221568768269,2016,1500,red,5,48
16382,16382,424954856cfebb3f739dffce88a401b371835049,13,business,39480.0,mercedes-benz,a-180,diesel,6.684611727667927,2018,1500,white,5,97
16383,16383,0d82e094c6227a588ba4e7816812d44683414c02,13,business,25000.0,outra-nao-listada,pontiac,gaz,11.198214720130528,1989,5001,red,4,114
16384,16384,bb9790afca6da9ffae1472ffc402784a870a734d,11,business,9490.0,citroen,c3,gaz,9.903487552536127,2013,1199,white,5,7
16385,16385,1afe0a33efbe54a32e8c3efd8cbf89b52eae6210,15,private,7600.0,mercedes-benz,vito,diesel,12.84792653170257,2004,2200,white,6,9
16386,16386,aa10d87d673d7095ff0f399843e16fdefc0a5f5b,10,business,13500.0,nissan,note,diesel,11.648330101976432,2013,1500,red,5,90
16387,16387,1985667aee431a9dedcc535c5a5cc2becf4df1c3,11,private,23999.0,vw,golf,hibride-gaz,12.14950229404178,2015,1395,white,5,119
16388,16388,fb9f84fa72351497266d8278d67400045fe6f02f,13,business,7950.0,citroen,c3-picasso,diesel,11.695247021764184,2010,1600,other,5,125
16389,16389,419e73a57ac17a84f01f4fac03fa8e6ec7e1aca4,0,business,15600.0,renault,grand-scenic,diesel,11.681798663273197,2014,1598,other,7,22
16390,16390,8c70b9f9ff669f107bb73c81bc90375fe4344c28,15,business,12500.0,toyota,aygo,gaz,10.209279644160226,2016,998,white,4,13
16391,16391,0931a4b530b6c86ac55d7f3185355ac917946b0b,11,business,13500.0,fiat,500,gaz,9.680344001221918,2017,1242,red,4,47
16392,16392,1b1ab8c07487994142724c0f00ae64592611887b,11,private,4950.0,peugeot,207,gaz,11.68462413146027,2007,1400,blue,5,100
16393,16393,65be2af33e33a8b923cd9033632435d721e45a60,11,business,15900.0,audi,a1-sportback,diesel,11.542484267211773,2015,1600,red,4,42
16394,16394,c2a3cd3e58ce631e89a93e969523e5a12aa011d4,1,business,12990.0,seat,mii,gaz,7.313220387090301,2018,1000,white,5,67
16395,16395,70ce7a1b6eb2ad66c959fc439b8cb34bef1ad7a9,3,business,12250.0,renault,megane-coupe,diesel,11.813814934509129,2011,1500,white,5,14
16396,16396,c21e91ca854bc6b52af27cfac9990dbcaab27025,13,business,12900.0,peugeot,308,diesel,11.84939770159144,2014,1600,white,5,188
16397,16397,dd760882dda5e1f744bcb7cc4f20bfb45fcbd07a,15,business,34500.0,bmw,x3,diesel,10.968198289528557,2014,2000,blue,5,66
16398,16398,cf25df84e7f44aa5018769fdc225b4b85b520e0b,11,business,13600.0,smart,fortwo,gaz,9.480367509189243,2017,899,blue,2,61
16399,16399,46c8994716862b2d516b016cf9c8d2e84cc0b90d,15,business,1000.0,fiat,punto,diesel,12.181580137917466,1998,1698,white,2,62
16400,16400,b06976cd38142e868724f89d04b58ea8783c61d6,11,business,9500.0,vw,golf,diesel,11.512925464970229,2006,1900,blue,5,10
16401,16401,cb8574f2b1a26d7f577ec67c9061e8ed6b287012,11,business,12980.0,peugeot,208,diesel,11.127262984158243,2012,1560,white,5,92
16402,16402,15a433c894573dbaa392e224002a4da9b651c9b7,11,business,10700.0,ford,s-max,diesel,12.154779351142624,2007,2000,blue,7,108
16403,16403,3b5cbd18e9e69b48e96b0b4d966ecef81dee0f30,15,business,15990.0,bmw,x3,diesel,12.057137507753852,2008,2993,blue,5,16
16404,16404,1e5f8844fb9d2c8c2f7d4ec5b9fbcda62a76957b,11,business,38250.0,bmw,x1,diesel,7.432483807917119,2018,1496,beige,5,26
16405,16405,2e387c429f34d92d9482f6ce6105bebc9c8403a4,13,business,1700.0,opel,astra-caravan,gaz,12.225875272826354,1999,1400,blue,5,43
16406,16406,16a7afe34f8cb8c7af121bd9f3501f4d02d9b129,11,business,13000.0,renault,megane-sport-tourer,diesel,11.45449094313306,2013,1461,blue,5,12
16407,16407,710070adca2a52bbeb4ad833933968555bd4e4ff,11,business,21200.0,peugeot,308-sw,diesel,11.148693466862769,2016,1560,other,5,8
16408,16408,ec4645e64be6733a2d9716eee37a90892f852c9e,11,business,13500.0,opel,astra,diesel,11.5584722799262,2014,1598,other,5,17
16409,16409,f1ea79e57c9210a4fb315d7da51cf4e31539784b,14,business,9600.0,honda,insight,hibride-gaz,11.811020632470438,2011,1339,red,5,62
16410,16410,32524b40f8939d1da2cfc7f2bb42db8d65f0ae09,13,business,23450.0,bmw,318,diesel,11.918390573078392,2015,2000,white,5,60
