,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20105,20105,6e33c70a1ae10ce26ec4f77f0b7671b8cc028808,6,private,8750.0,peugeot,peugeot-108,gaz,52000,2015,1000,blue,4.0,27
20106,20106,44598c13b4759604a82d371aba7a04b1ee24c2e1,13,business,1000.0,vw,vw-golf-variant,diesel,149000,2015,1600,white,,83
20107,20107,88aa0d268b956242c5b826f653de1aaa572f71f3,11,private,5600.0,toyota,toyota-aygo,gaz,54000,2013,1000,white,4.0,83
20108,20108,00eafb6d5c8d486cfb50b7c950238269a1d48ecd,13,business,30990.0,peugeot,peugeot-5008,diesel,28050,2017,1560,white,,46
20109,20109,e9190102ebd8ce1cff0ff63d0ae16423c74bcf99,11,business,13990.0,renault,renault-clio-sport-tourer,diesel,88240,2014,1461,red,,38
20110,20110,c644f330bff561b590b5e5a1a5ac88087d1a85fa,11,business,19800.0,renault,renault-megane,diesel,87060,2017,1461,other,,49
20111,20111,655a442a671714e272227f30d56b5cd3ffaf402f,13,business,8990.0,renault,renault-clio-sport-tourer,diesel,163000,2014,1500,white,,28
20112,20112,416cebadfb236d2a857d9e35d3b8067cf28d858c,3,private,14000.0,jeep,jeep-grand-cherokee,diesel,135000,2005,3000,green,,24
20113,20113,d5fdaff23a2e7b66c0c18001de1fd9ced769db0f,15,business,13750.0,toyota,toyota-yaris,gaz,36258,2017,998,white,,12
20114,20114,9bd137c39162fd813a6d1842607df20af2a70e20,13,business,15500.0,citroen,citroen-c3,gaz,15000,2018,1199,red,,8
20115,20115,6980422337f556b99e63d5c73c38787bf3183385,11,business,12980.0,renault,renault-clio-sport-tourer,diesel,104093,2015,1461,red,,100
20116,20116,073d086e9d589ecb029813cca4d9d2dcd581c795,11,business,15800.0,renault,renault-megane,diesel,74851,2015,1461,other,,10
20117,20117,3bbce1200a1c9f835d8e84e7f5601eb6797267ef,11,business,25800.0,vw,vw-sharan,diesel,128969,2014,1968,other,7.0,11
20118,20118,f4a988bb5a2f3d1ddacc9b1a9323ced580b2596f,14,private,7500.0,citroen,citroen-c5-tourer,diesel,280000,2010,1998,blue,,11
