,Year,NOC,Reg_value,Season,Key_hostEffect
1206,1984,SUI,0.0676501860712387,Winter,1984WinterSUI
1208,1988,SUI,0.06007255655142979,Winter,1988WinterSUI
1210,1992,SUI,0.06158770806658131,Winter,1992WinterSUI
1212,1994,SUI,0.03526007530330499,Winter,1994WinterSUI
1214,1998,SUI,0.04395458859190641,Winter,1998WinterSUI
1216,2002,SUI,0.045806440443758256,Winter,2002WinterSUI
1218,2006,SUI,0.04588319230499089,Winter,2006WinterSUI
1220,2010,SUI,0.04257580402633615,Winter,2010WinterSUI
1233,1928,NOR,0.31128331835879003,Winter,1928WinterNOR
1235,1932,NOR,0.3024042950513539,Winter,1932WinterNOR
1237,1936,NOR,0.22868634633340515,Winter,1936WinterNOR
1239,1948,NOR,0.22892325701807703,Winter,1948WinterNOR
1241,1952,NOR,0.14966338405480722,Winter,1952WinterNOR
1243,1956,NOR,0.12338133277275594,Winter,1956WinterNOR
1245,1960,NOR,0.09279895056614196,Winter,1960WinterNOR
1247,1964,NOR,0.12068627450980392,Winter,1964WinterNOR
1249,1968,NOR,0.13490196078431374,Winter,1968WinterNOR
1251,1972,NOR,0.10709447415329769,Winter,1972WinterNOR
1253,1976,NOR,0.08966757356850236,Winter,1976WinterNOR
1255,1980,NOR,0.07772461456671982,Winter,1980WinterNOR
1257,1984,NOR,0.06913875598086124,Winter,1984WinterNOR
1259,1988,NOR,0.07980509318537488,Winter,1988WinterNOR
1261,1992,NOR,0.0951249585052402,Winter,1992WinterNOR
1263,1994,NOR,0.11880232624201387,Winter,1994WinterNOR
1265,1998,NOR,0.11323098690412675,Winter,1998WinterNOR
1267,2002,NOR,0.0957706694438093,Winter,2002WinterNOR
1269,2006,NOR,0.08918280135467481,Winter,2006WinterNOR
1271,2010,NOR,0.08422656847962327,Winter,2010WinterNOR
1284,1928,ITA,0.0,Winter,1928WinterITA
1286,1932,ITA,0.0,Winter,1932WinterITA
1288,1936,ITA,0.005128205128205128,Winter,1936WinterITA
1290,1948,ITA,0.015078453884424034,Winter,1948WinterITA
1292,1952,ITA,0.029162960926677556,Winter,1952WinterITA
1294,1956,ITA,0.028201422465139094,Winter,1956WinterITA
1296,1960,ITA,0.031323069133756785,Winter,1960WinterITA
1298,1964,ITA,0.030571895424836598,Winter,1964WinterITA
1300,1968,ITA,0.04274509803921569,Winter,1968WinterITA
1302,1972,ITA,0.0417944147355912,Winter,1972WinterITA
1304,1976,ITA,0.03430903461863214,Winter,1976WinterITA
1306,1980,ITA,0.024029771398192446,Winter,1980WinterITA
1308,1984,ITA,0.024534821903242954,Winter,1984WinterITA
1310,1988,ITA,0.05155071845212691,Winter,1988WinterITA
1312,1992,ITA,0.08252714942855788,Winter,1992WinterITA
1314,1994,ITA,0.08640253696731175,Winter,1994WinterITA
1316,1998,ITA,0.07213668434082321,Winter,1998WinterITA
1318,2002,ITA,0.04964991185405073,Winter,2002WinterITA
1320,2006,ITA,0.03960821000944766,Winter,2006WinterITA
1322,2010,ITA,0.030049760893276854,Winter,2010WinterITA
1337,1932,JPN,0.0,Winter,1932WinterJPN
1339,1936,JPN,0.0,Winter,1936WinterJPN
1343,1952,JPN,0.004694835680751174,Winter,1952WinterJPN
1345,1956,JPN,0.004694835680751174,Winter,1956WinterJPN
1347,1960,JPN,0.004694835680751174,Winter,1960WinterJPN
1349,1964,JPN,0.0,Winter,1964WinterJPN
1351,1968,JPN,0.00980392156862745,Winter,1968WinterJPN
1353,1972,JPN,0.00980392156862745,Winter,1972WinterJPN
1355,1976,JPN,0.012727898176814585,Winter,1976WinterJPN
1357,1980,JPN,0.005954279638490164,Winter,1980WinterJPN
1359,1984,JPN,0.00847953216374269,Winter,1984WinterJPN
1361,1988,JPN,0.021987480438184662,Winter,1988WinterJPN
1363,1992,JPN,0.028216436667140892,Winter,1992WinterJPN
1365,1994,JPN,0.04219283430690487,Winter,1994WinterJPN
1367,1998,JPN,0.028622139753317247,Winter,1998WinterJPN
1369,2002,JPN,0.02068563181680931,Winter,2002WinterJPN
1371,2006,JPN,0.010643929972206244,Winter,2006WinterJPN
1373,2010,JPN,0.016822247665763627,Winter,2010WinterJPN
1386,1928,AUT,0.0680742737346511,Winter,1928WinterAUT
1388,1932,AUT,0.07535014005602242,Winter,1932WinterAUT
1390,1936,AUT,0.0830424477483301,Winter,1936WinterAUT
1392,1948,AUT,0.10697042690018983,Winter,1948WinterAUT
1394,1952,AUT,0.13246982853877956,Winter,1952WinterAUT
1396,1956,AUT,0.11644418751313852,Winter,1956WinterAUT
1398,1960,AUT,0.11585887876277272,Winter,1960WinterAUT
1400,1964,AUT,0.10088235294117646,Winter,1964WinterAUT
1402,1968,AUT,0.09222222222222222,Winter,1968WinterAUT
1404,1972,AUT,0.0711883541295306,Winter,1972WinterAUT
1406,1976,AUT,0.05498952372017387,Winter,1976WinterAUT
1408,1980,AUT,0.04167995746943115,Winter,1980WinterAUT
1410,1984,AUT,0.04875066454013823,Winter,1984WinterAUT
1412,1988,AUT,0.0775786029307156,Winter,1988WinterAUT
1414,1992,AUT,0.09121496656707924,Winter,1992WinterAUT
1416,1994,AUT,0.09401524659508205,Winter,1994WinterAUT
1418,1998,AUT,0.06903992974404737,Winter,1998WinterAUT
1420,2002,AUT,0.08279654350066112,Winter,2002WinterAUT
1422,2006,AUT,0.07541557284545607,Winter,2006WinterAUT
1424,2010,AUT,0.070304154596626,Winter,2010WinterAUT
1437,1928,CAN,0.07017819706498951,Winter,1928WinterCAN
1439,1932,CAN,0.0704248366013072,Winter,1932WinterCAN
1441,1936,CAN,0.07747611865258924,Winter,1936WinterCAN
1443,1948,CAN,0.0318708118532526,Winter,1948WinterCAN
1445,1952,CAN,0.039419371183087824,Winter,1952WinterCAN
1447,1956,CAN,0.0407014224651391,Winter,1956WinterCAN
1449,1960,CAN,0.040555095277547644,Winter,1960WinterCAN
1451,1964,CAN,0.03647058823529412,Winter,1964WinterCAN
1453,1968,CAN,0.02307189542483661,Winter,1968WinterCAN
1455,1972,CAN,0.022358882947118252,Winter,1972WinterCAN
1457,1976,CAN,0.01820683616349252,Winter,1976WinterCAN
1459,1980,CAN,0.02706007442849549,Winter,1980WinterCAN
1461,1984,CAN,0.030595427963849026,Winter,1984WinterCAN
1463,1988,CAN,0.04117939963010386,Winter,1988WinterCAN
1465,1992,CAN,0.05313226158296582,Winter,1992WinterCAN
1467,1994,CAN,0.06525847420422794,Winter,1994WinterCAN
1469,1998,CAN,0.07314700711845148,Winter,1998WinterCAN
1471,2002,CAN,0.08081896479040916,Winter,2002WinterCAN
1473,2006,CAN,0.08965822080903428,Winter,2006WinterCAN
1475,2010,CAN,0.09358635058280308,Winter,2010WinterCAN
